,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
21,frozenset({'The Blacklist'}),"frozenset({'Atypical', 'Ozark'})",0.6428571428571429,0.4523809523809524,0.3333333333333333,0.5185185185185185,1.1461988304093567,0.042517006802721025,1.1373626373626373,0.35714285714285665
20,"frozenset({'Atypical', 'Ozark'})",frozenset({'The Blacklist'}),0.4523809523809524,0.6428571428571429,0.3333333333333333,0.7368421052631579,1.1461988304093567,0.042517006802721025,1.3571428571428568,0.23291925465838473
19,"frozenset({'The Blacklist', 'Ozark'})",frozenset({'Atypical'}),0.5,0.5714285714285714,0.3333333333333333,0.6666666666666666,1.1666666666666667,0.047619047619047616,1.2857142857142856,0.2857142857142857
18,"frozenset({'The Blacklist', 'Atypical'})",frozenset({'Ozark'}),0.42857142857142855,0.7380952380952381,0.3333333333333333,0.7777777777777778,1.053763440860215,0.0170068027210884,1.1785714285714284,0.0892857142857141
25,frozenset({'Demon Slayer'}),frozenset({'The Blacklist'}),0.47619047619047616,0.6428571428571429,0.3333333333333333,0.7,1.0888888888888888,0.02721088435374147,1.1904761904761902,0.1558441558441557
51,frozenset({'Atypical'}),"frozenset({'Family Guy', 'Ozark'})",0.5714285714285714,0.38095238095238093,0.30952380952380953,0.5416666666666667,1.4218750000000002,0.0918367346938776,1.3506493506493509,0.6923076923076926
48,"frozenset({'Atypical', 'Family Guy'})",frozenset({'Ozark'}),0.38095238095238093,0.7380952380952381,0.30952380952380953,0.8125000000000001,1.1008064516129032,0.028344671201814053,1.3968253968253974,0.1479289940828402
49,"frozenset({'Atypical', 'Ozark'})",frozenset({'Family Guy'}),0.4523809523809524,0.4523809523809524,0.30952380952380953,0.6842105263157895,1.5124653739612188,0.10487528344671201,1.7341269841269844,0.6187290969899665
50,"frozenset({'Family Guy', 'Ozark'})",frozenset({'Atypical'}),0.38095238095238093,0.5714285714285714,0.30952380952380953,0.8125000000000001,1.4218750000000002,0.0918367346938776,2.2857142857142874,0.4792899408284026
55,frozenset({'The Mentalist'}),frozenset({'Atypical'}),0.42857142857142855,0.5714285714285714,0.30952380952380953,0.7222222222222223,1.263888888888889,0.0646258503401361,1.5428571428571436,0.36538461538461564
52,frozenset({'Family Guy'}),"frozenset({'Atypical', 'Ozark'})",0.4523809523809524,0.4523809523809524,0.30952380952380953,0.6842105263157895,1.5124653739612188,0.10487528344671201,1.7341269841269844,0.6187290969899665
53,frozenset({'Ozark'}),"frozenset({'Atypical', 'Family Guy'})",0.7380952380952381,0.38095238095238093,0.30952380952380953,0.41935483870967744,1.1008064516129032,0.028344671201814053,1.0661375661375663,0.34965034965034963
54,frozenset({'Atypical'}),frozenset({'The Mentalist'}),0.5714285714285714,0.42857142857142855,0.30952380952380953,0.5416666666666667,1.263888888888889,0.0646258503401361,1.246753246753247,0.4871794871794875
46,frozenset({'The Blacklist'}),frozenset({'The Walking Dead'}),0.6428571428571429,0.47619047619047616,0.30952380952380953,0.48148148148148145,1.011111111111111,0.003401360544217691,1.010204081632653,0.03076923076923081
47,frozenset({'The Walking Dead'}),frozenset({'The Blacklist'}),0.47619047619047616,0.6428571428571429,0.30952380952380953,0.65,1.011111111111111,0.003401360544217691,1.0204081632653061,0.020979020979021
37,frozenset({'Atypical'}),frozenset({'Mr. Robot'}),0.5714285714285714,0.5,0.30952380952380953,0.5416666666666667,1.0833333333333335,0.023809523809523836,1.090909090909091,0.17948717948717968
45,frozenset({'The Mentalist'}),frozenset({'Ozark'}),0.42857142857142855,0.7380952380952381,0.30952380952380953,0.7222222222222223,0.9784946236559141,-0.006802721088435382,0.9428571428571431,-0.03703703703703708
43,frozenset({'Family Guy'}),"frozenset({'The Blacklist', 'Atypical'})",0.4523809523809524,0.42857142857142855,0.30952380952380953,0.6842105263157895,1.5964912280701755,0.11564625850340138,1.8095238095238095,0.6822742474916389
42,frozenset({'Atypical'}),"frozenset({'The Blacklist', 'Family Guy'})",0.5714285714285714,0.3333333333333333,0.30952380952380953,0.5416666666666667,1.6250000000000002,0.11904761904761907,1.454545454545455,0.8974358974358976
41,frozenset({'The Blacklist'}),"frozenset({'Atypical', 'Family Guy'})",0.6428571428571429,0.38095238095238093,0.30952380952380953,0.48148148148148145,1.2638888888888888,0.06462585034013607,1.193877551020408,0.5846153846153849
40,"frozenset({'Atypical', 'Family Guy'})",frozenset({'The Blacklist'}),0.38095238095238093,0.6428571428571429,0.30952380952380953,0.8125000000000001,1.263888888888889,0.06462585034013607,1.9047619047619055,0.3372781065088758
39,"frozenset({'The Blacklist', 'Family Guy'})",frozenset({'Atypical'}),0.3333333333333333,0.5714285714285714,0.30952380952380953,0.9285714285714286,1.6250000000000002,0.11904761904761907,6.0000000000000036,0.576923076923077
38,"frozenset({'The Blacklist', 'Atypical'})",frozenset({'Family Guy'}),0.42857142857142855,0.4523809523809524,0.30952380952380953,0.7222222222222223,1.5964912280701757,0.11564625850340138,1.9714285714285724,0.653846153846154
36,frozenset({'Mr. Robot'}),frozenset({'Atypical'}),0.5,0.5714285714285714,0.30952380952380953,0.6190476190476191,1.0833333333333335,0.023809523809523836,1.1250000000000002,0.15384615384615402
44,frozenset({'Ozark'}),frozenset({'The Mentalist'}),0.7380952380952381,0.42857142857142855,0.30952380952380953,0.41935483870967744,0.9784946236559141,-0.006802721088435382,0.9841269841269842,-0.07741935483870978
79,frozenset({'Ozark'}),"frozenset({'Mr. Robot', 'The Blacklist'})",0.7380952380952381,0.3333333333333333,0.2857142857142857,0.3870967741935483,1.161290322580645,0.03968253968253965,1.0877192982456139,0.53030303030303
81,frozenset({'12 Monkeys'}),frozenset({'The Blacklist'}),0.35714285714285715,0.6428571428571429,0.2857142857142857,0.7999999999999999,1.2444444444444442,0.05612244897959179,1.785714285714285,0.3055555555555553
80,frozenset({'The Blacklist'}),frozenset({'12 Monkeys'}),0.6428571428571429,0.35714285714285715,0.2857142857142857,0.44444444444444436,1.2444444444444442,0.05612244897959179,1.157142857142857,0.5499999999999997
76,"frozenset({'The Blacklist', 'Ozark'})",frozenset({'Mr. Robot'}),0.5,0.5,0.2857142857142857,0.5714285714285714,1.1428571428571428,0.0357142857142857,1.1666666666666665,0.2499999999999999
